Id,Label,Count
保定帝,保定帝,342
段皇爷,段皇爷,95
马五德,马五德,14
左子穆,左子穆,123
段誉,段誉,2460
龚光杰,龚光杰,44
容子矩,容子矩,6
天山童姥,天山童姥,49
司空玄,司空玄,116
钟灵,钟灵,371
阿胜,阿胜,5
阿洪,阿洪,6
逍遥子,逍遥子,33
段公子,段公子,254
岳老三,岳老三,43
来福儿,来福儿,14
钟万仇,钟万仇,217
段正淳,段正淳,757
甘宝宝,甘宝宝,52
瑞婆婆,瑞婆婆,39
平婆婆,平婆婆,34
葛光佩,葛光佩,6
童姥,童姥,525
木婉清,木婉清,734
木姑娘,木姑娘,83
辛双清,辛双清,17
叶二娘,叶二娘,211
云中鹤,云中鹤,232
云老四,云老四,13
朱丹臣,朱丹臣,194
褚万里,褚万里,85
傅思归,傅思归,33
古笃诚,古笃诚,27
郁光标,郁光标,51
吴光胜,吴光胜,34
秦红棉,秦红棉,131
段正明,段正明,47
太皇太后,太皇太后,50
刀白凤,刀白凤,101
段王爷,段王爷,27
巴天石,巴天石,209
黄眉和尚,黄眉和尚,4
华赫艮,华赫艮,60
范骅,范骅,80
阿根,阿根,11
丁老怪,丁老怪,17
段延庆,段延庆,302
过彦之,过彦之,70
崔百泉,崔百泉,109
慧真,慧真,23
慧观,慧观,14
玄慈,玄慈,225
慕容博,慕容博,127
姥姥,姥姥,63
丁春秋,丁春秋,437
本观,本观,23
本相,本相,26
本参,本参,28
枯荣长老,枯荣长老,3
大轮明王,大轮明王,36
慕容先生,慕容先生,88
鸠摩智,鸠摩智,563
慕容公子,慕容公子,227
阿碧,阿碧,252
阿朱,阿朱,895
阿朱姑娘,阿朱姑娘,9
幽草,幽草,16
慕容复,慕容复,843
王夫人,王夫人,296
唐光雄,唐光雄,8
王语嫣,王语嫣,860
邓百川,邓百川,175
严妈妈,严妈妈,30
姚伯当,姚伯当,70
司马林,司马林,100
诸保昆,诸保昆,88
姜师叔,姜师叔,2
孟师叔,孟师叔,1
包不同,包不同,406
乔峰,乔峰,900
乔帮主,乔帮主,129
风波恶,风波恶,209
全冠清,全冠清,161
张全祥,张全祥,8
宋长老,宋长老,56
奚长老,奚长老,28
白世镜,白世镜,127
李春来,李春来,6
项长老,项长老,1
刘竹庄,刘竹庄,6
吴长风,吴长风,37
公冶乾,公冶乾,128
陈孤雁,陈孤雁,5
易大彪,易大彪,25
徐长老,徐长老,143
马夫人,马夫人,224
谭公,谭公,105
谭婆,谭婆,106
单叔山,单叔山,4
单正,单正,69
单伯山,单伯山,8
单小山,单小山,6
智光大师,智光大师,38
单季山,单季山,6
玄苦大师,玄苦大师,49
赫连铁树,赫连铁树,31
努儿海,努儿海,17
玄苦,玄苦,37
玄难大师,玄难大师,32
止清,止清,64
玄寂,玄寂,92
玄难,玄难,190
鲍千灵,鲍千灵,36
祁六三,祁六三,1
游骥,游骥,25
游驹,游驹,23
薛慕华,薛慕华,94
谭青,谭青,10
游坦之,游坦之,534
朴者和尚,朴者和尚,9
萧峰,萧峰,1301
萧远山,萧远山,92
阿紫,阿紫,905
阮星竹,阮星竹,120
阿紫姑娘,阿紫姑娘,15
桃红,桃红,41
出尘子,出尘子,37
摘星子,摘星子,78
小阿紫,小阿紫,7
许卓诚,许卓诚,5
室里,室里,58
耶律洪基,耶律洪基,191
耶律涅鲁古,耶律涅鲁古,2
耶律重元,耶律重元,4
耶律莫哥,耶律莫哥,8
紫衣,紫衣,15
慧净,慧净,32
苏星河,苏星河,179
天狼子,天狼子,7
虚竹,虚竹,1516
玄痛,玄痛,47
慧方,慧方,21
西施,西施,44
康广陵,康广陵,69
范百龄,范百龄,29
苟读,苟读,7
吴领军,吴领军,7
冯阿三,冯阿三,18
李傀儡,李傀儡,21
石清露,石清露,4
苏先生,苏先生,1
桑土公,桑土公,56
洞玄,洞玄,53
端木元,端木元,5
黎夫人,黎夫人,5
乌老大,乌老大,301
不平道人,不平道人,76
无崖子,无崖子,60
李秋水,李秋水,188
梦姑,梦姑,19
余婆婆,余婆婆,9
符敏仪,符敏仪,11
程青霜,程青霜,3
云岛主,云岛主,4
卓不凡,卓不凡,61
崔绿华,崔绿华,15
梅剑,梅剑,47
兰剑,兰剑,32
竹剑,竹剑,20
菊剑,菊剑,39
哈大霸,哈大霸,22
缘根,缘根,35
神山上人,神山上人,30
神音,神音,8
哲罗星,哲罗星,55
波罗星,波罗星,90
天竺僧,天竺僧,63
玄生,玄生,47
天竺僧人,天竺僧人,9
梅剑和,梅剑和,143
庄帮主,庄帮主,28
闻先生,闻先生,12
萧居士,萧居士,5
慕容居士,慕容居士,3
慕容少侠,慕容少侠,4
宗赞王子,宗赞王子,20
段老大,段老大,5
贾老者,贾老者,13
苏辙,苏辙,13
穆贵妃,穆贵妃,23
少林老僧,少林老僧,1
谭处端,谭处端,40
刘处玄,刘处玄,53
王处一,王处一,261
郝大通,郝大通,136
李志常,李志常,54
察合台,察合台,73
尹志平,尹志平,390
王志坦,王志坦,30
祁志诚,祁志诚,21
耶律楚材,耶律楚材,27
孙不二,孙不二,94
铁木真,铁木真,363
王罕,王罕,80
札木合,札木合,74
术赤,术赤,60
博尔术,博尔术,16
窝阔台,窝阔台,87
赤老温,赤老温,22
